model,granularity,subset,bits,mse,rmse,mae,r2,nz_mae,ny_mae,mse_fp32_table2,mse_baseline_measured,delta_mse_vs_table2,delta_mse_vs_measured,delta_mse_pct_vs_measured,delta_nz_mae_vs_measured,delta_ny_mae_vs_measured,weight_mean_rel_l2_err,weight_max_rel_l2_err,weight_max_abs_err,n_params_quantized,n_tensors_quantized,direction_norm_mean_dev,params,space,n_test_samples,wall_clock_sec,precision,gpu
s4_concat,per_tensor,C,2,320.1590982803568,8.509708982922133,6.475174311947112,0.9645327160975444,0.04010610280918471,0.011631794846244905,10.232754160949133,10.21053228048407,309.92634411940764,309.9485659998727,3035.576965877614,0.03224296209765245,0.008618871167395755,0.7280962152564637,0.7799500435876199,0.8416939377784729,32768,8,0.04773610234124537,320645,physical,79829,27.43052864074707,fp32,NVIDIA RTX A4000
s4_concat,per_tensor,A+B+C,8,10.429487655493139,1.6139788625156417,1.0337472999038524,0.9960359438932643,0.008239195330656016,0.0030227216471879117,10.232754160949133,10.21053228048407,0.1967334945440058,0.21895537500906848,2.144407059243811,0.00037605461912375293,9.79796833876223e-06,0.0059756712194195555,0.011895407816944387,0.19307327270507812,81920,20,0.0047170486661806885,320645,physical,79829,27.50356960296631,fp32,NVIDIA RTX A4000
s4_concat,per_tensor,A+B+C,6,18.951720904177733,2.135723884379243,1.5576930434694938,0.9950254666217665,0.011361660731260784,0.003576031270645401,10.232754160949133,10.21053228048407,8.7189667432286,8.741188623693663,85.60952929360165,0.0034985200197285207,0.0005631075917962515,0.023893395273128587,0.047274693358667456,0.7815093994140625,81920,20,0.010738057151214356,320645,physical,79829,27.54643750190735,fp32,NVIDIA RTX A4000
s4_concat,per_tensor,A+B+C,4,59.0773056362955,3.9315472575146897,2.9446817013559063,0.9600494736403491,0.03272134650939481,0.015192708358713312,10.232754160949133,10.21053228048407,48.844551475346364,48.86677335581143,478.59183060625617,0.024858205797862548,0.012179784679864162,0.1006631230505672,0.19942130524471455,3.281787872314453,81920,20,0.03823069332965358,320645,physical,79829,27.48339581489563,fp32,NVIDIA RTX A4000
s4_concat,per_tensor,A+B+C,2,5351.801977519846,42.68728402668471,37.08841086865715,-9.18773334150903,0.1565573413850996,0.3340696295931322,10.232754160949133,10.21053228048407,5341.569223358897,5341.591445239363,52314.52483088496,0.14869420067356734,0.33105670591428304,0.48841677261162,0.7968052712920879,16.4107666015625,81920,20,0.41101018129049255,320645,physical,79829,27.340059518814087,fp32,NVIDIA RTX A4000
s4_concat,per_channel,A,8,10.168296929547315,1.596367339230338,1.0171752833817824,0.996032230576042,0.008105675307787545,0.0030754727361795116,10.232754160949133,10.21053228048407,-0.0644572314018177,-0.04223535093675501,-0.41364494794734324,0.0002425345962552821,6.25490573303621e-05,0.001722833952639181,0.0019409618688291162,0.18853759765625,32768,8,0.004995810217606445,320645,physical,79829,27.499744653701782,fp32,NVIDIA RTX A4000
s4_concat,per_channel,A,6,19.278101301128956,2.1512233005392516,1.5685671206248044,0.9949702003035101,0.011381666800048873,0.0036848696971607197,10.232754160949133,10.21053228048407,9.045347140179823,9.067569020644886,88.80603646860027,0.00351852608851661,0.0006719460183115702,0.006914082133221836,0.007743131911331246,0.7808609008789062,32768,8,0.011329868123682042,320645,physical,79829,27.47761082649231,fp32,NVIDIA RTX A4000
s4_concat,per_channel,A,4,44.73610865980422,3.464400291801347,2.573508973916856,0.9723418392221832,0.02259732769018296,0.011715912625454116,10.232754160949133,10.21053228048407,34.50335449885509,34.52557637932016,338.13689072126743,0.014734186978650697,0.008702988946604966,0.029008428973907766,0.032167763245991535,3.2174911499023438,32768,8,0.01885522512771372,320645,physical,79829,27.5092031955719,fp32,NVIDIA RTX A4000
s4_concat,per_channel,A,2,11801.479859424457,57.37612188340262,44.76986128857316,-5.133948800251324,0.19262904182385757,0.23661199864112084,10.232754160949133,10.21053228048407,11791.247105263508,11791.269327143973,115481.43625853129,0.1847659011123253,0.2335990749622717,0.1447943446955646,0.16199897203120725,16.27983856201172,32768,8,0.32919943774668614,320645,physical,79829,27.435006618499756,fp32,NVIDIA RTX A4000
s4_concat,per_channel,B,8,10.213376145121476,1.5982664132745417,1.0139800972345416,0.9960698305083548,0.007858042878671645,0.0030137732195143507,10.232754160949133,10.21053228048407,-0.01937801582765708,0.002843864637405602,0.027852266260802394,-5.0978328606180595e-06,8.495406652012268e-07,0.001347823301602793,0.0014184471670586527,0.004946351051330566,16384,4,0.004951345158479763,320645,physical,79829,27.517433166503906,fp32,NVIDIA RTX A4000
