model,granularity,subset,bits,quantized,agg_mse,agg_mae,agg_r2,mse_x_entry,mse_y_entry,mse_n_x,mse_n_y,mse_n_z,rmse_x_entry,rmse_y_entry,rmse_n_x,rmse_n_y,rmse_n_z,mae_x_entry,mae_y_entry,mae_n_x,mae_n_y,mae_n_z,r2_x_entry,r2_y_entry,r2_n_x,r2_n_y,r2_n_z,delta_mae_x_entry,delta_mae_y_entry,delta_mae_n_x,delta_mae_n_y,delta_mae_n_z,delta_mse_x_entry,delta_mse_y_entry,delta_mse_n_x,delta_mse_n_y,delta_mse_n_z
s4_concat,baseline,none,,False,10.21053228048407,1.0136184805499988,0.9960707028132809,50.347872081315316,0.7033426171665362,0.0011865933725147635,4.314357503993629e-05,0.00021696699094219342,7.0956234455694815,0.8386552433309746,0.03444696463427167,0.006568376895393282,0.014729799419618498,4.594100205452962,0.4515853812770813,0.011530751629568408,0.0030129236788491495,0.007863140711532263,0.9992111237939951,0.9961591374091453,0.9985675094263496,0.9901316747739863,0.9962840686629277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s4_modulate_full,baseline,none,,False,10.524976797110309,1.065887598784317,0.9956685941547025,51.94591606757809,0.6771892727917337,0.0014728459433544744,4.7870555313449074e-05,0.00025792868304913254,7.2073515293468295,0.8229151066736676,0.038377675064475626,0.006918855057988213,0.016060158251061305,4.857857409513038,0.4452935218014889,0.014315994605601696,0.003138165196137863,0.008832902805320538,0.9991860848236316,0.9963019574225829,0.9982219368663563,0.9890504621338008,0.9955825295271418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s4_concat,per_tensor,A,8,True,10.404666267848828,1.0319000171564432,0.9960398525498194,51.3145649104719,0.7073194370597268,0.00118070642395859,4.323214543098653e-05,0.0002230531431213589,7.163418521241929,0.841022851686996,0.0343614089344222,0.006575115621111657,0.014934963780383228,4.674608023301171,0.4621036074178374,0.011483320539753462,0.003013706918102714,0.008291427605351098,0.9991959771564132,0.9961374205127345,0.9985746163245589,0.9901114158727833,0.9961798328826068,0.0805078178482086,0.010518226140756093,-4.743108981494597e-05,7.832392535647367e-07,0.00042828689381883486,0.9666928291565853,0.003976819893190542,-5.886948556173581e-06,8.857039105023852e-08,6.086152179165464e-06
s4_concat,per_tensor,A,6,True,18.31283557261361,1.5183645147759732,0.9950549231912381,90.7378515383896,0.8242445718529806,0.0017213435481784705,4.986581995546422e-05,0.000310543457318986,9.525641791416975,0.9078791614818464,0.041489077456343504,0.007061573475895031,0.01762224325444936,7.013642067952056,0.5445094269402233,0.018790725414125305,0.003606629226459689,0.011273724347000934,0.9985782729417634,0.9954989075530517,0.9979219432166946,0.9885940808445556,0.9946814114001248,2.419541862499094,0.092924045663142,0.007259973784556896,0.0005937055476105397,0.0034105836354686708,40.38997945707429,0.12090195468644438,0.000534750175663707,6.7222449155279296e-06,9.357646637679257e-05
s4_concat,per_tensor,A,4,True,57.67595358734229,2.9001141200631304,0.9679831130985164,282.7094843846057,5.664066642850906,0.0042388468266618285,0.0004051364425914816,0.001572925985685255,16.81396694372288,2.3799299659550712,0.06510642692286091,0.020128001455471965,0.0396601309337886,12.753368321192523,1.6733445987741196,0.03420988869345177,0.013021433946829418,0.026626357708727504,0.9955703632303917,0.9690692684480361,0.9948827388868081,0.9073322465117426,0.9730609484156032,8.159268115739561,1.2217592174970382,0.02267913706388336,0.010008510267980268,0.018763216997195242,232.36161230329037,4.960724025684369,0.003052253454147065,0.0003619928675515453,0.0013559589947430616
s4_concat,per_tensor,A,2,True,13114.230933978717,46.55305699487504,-5.191640367503273,63253.94424177136,2316.057525429497,1.0023798349300046,0.06394613369173768,0.08657672410685573,251.50336825134443,48.1254353271687,1.001189210354369,0.25287572776314,0.2942392293812226,184.80105423992214,46.718341402515705,0.8212357831204359,0.23197327449016283,0.19268027432674958,0.008904855647068666,-11.647689036001196,-0.2101025490403292,-13.626540420725156,-0.48277468739675133,180.20695403446916,46.26675602123862,0.8097050314908675,0.2289603508113137,0.18481713361521732,63203.59636969004,2315.3541828123307,1.0011932415574898,0.06390299011669774,0.08635975711591354
s4_concat,per_tensor,B,8,True,10.225165542804913,1.0144283644762218,0.9960705916767439,50.42172306079031,0.7026575025090304,0.00118684478032695,4.3141165672741e-05,0.00021716477920620653,7.100825519669549,0.8382466835657809,0.03445061364224083,0.00656819348624422,0.014736511771997012,4.598456254725596,0.4512782802960776,0.01152265887434259,0.0030129770353289195,0.00787165144976381,0.9992099666590838,0.9961628787312183,0.9985672059194116,0.9901322258738674,0.9962806812001384,0.004356049272633555,-0.0003071009810037273,-8.092755225818857e-06,5.33564797700406e-08,8.510738231546841e-06,0.0738509794749973,-0.0006851146575058698,2.5140781218652153e-07,-2.4093671952910294e-09,1.9778826401310257e-07
s4_concat,per_tensor,B,6,True,10.211591644266882,1.0151397784182778,0.9960700908355111,50.352231800893506,0.7042811332775244,0.0011837044555167565,4.3030823236813794e-05,0.00021855188463203572,7.095930650795109,0.8392145931032923,0.034405006256601034,0.006559788353050256,0.014783500418778893,4.600515079495561,0.45270111551897674,0.01151362478373658,0.003010306293532024,0.007958765999583086,0.9992110554836793,0.9961540122946796,0.998570997012294,0.990157464742991,0.9962569246439116,0.006414874042598662,0.0011157342418954275,-1.7126845831829177e-05,-2.617385317125326e-06,9.5625288050823e-05,0.0043597195781899245,0.0009385161109881635,-2.8889169980069775e-06,-1.1275180312249767e-07,1.584893689842294e-06
s4_concat,per_tensor,B,4,True,10.242510355478954,1.0117351054775086,0.9960389864723405,50.49858020916057,0.7125143315048464,0.0011928083835033485,4.326021885608623e-05,0.00022116812699221508,7.106235304938936,0.8441056400148303,0.03453705811882866,0.006577250098337924,0.014871722394941854,4.5756495248429605,0.4605936617704858,0.01139265014888351,0.003005599402138931,0.008034091223073796,0.9992087624219809,0.9961090518695573,0.9985600064814802,0.9901049945762441,0.9962121170124403,-0.01845068061000177,0.009008280493404464,-0.00013810148068489798,-7.3242767102185e-06,0.00017095051154153267,0.150708127845256,0.00917171433831021,6.215010988584995e-06,1.166438161499388e-07,4.201136050021654e-06
s4_concat,per_tensor,B,2,True,14.901524442889926,1.347805978169694,0.9948566816518655,73.65633640643681,0.849486900545892,0.001456299208286321,5.811629953451514e-05,0.0002844919591138965,8.58232698086229,0.921676136474137,0.03816148854914233,0.007623404720629434,0.016866889432076575,6.141008075288184,0.5638287704351042,0.018967727011204537,0.004268735080799747,0.010956583033177252,0.9988459148557721,0.995361062477812,0.9982419125737543,0.9867069304245616,0.9951275879274278,1.5469078698352217,0.11224338915802284,0.007436975381636129,0.0012558114019505977,0.0030934423216449885,23.30846432512149,0.1461442833793558,0.0002697058357715575,1.497272449457885e-05,6.752496817170306e-05
s4_concat,per_tensor,C,8,True,10.27227061128589,1.0185140704401676,0.9960602294396091,50.65569294045247,0.7042117654590376,0.0011880415033750508,4.3321502694168065e-05,0.00021698751187597897,7.117281288557623,0.8391732630744605,0.03446797794149014,0.006581907223151057,0.014730495982008852,4.617975808827257,0.4521724778170699,0.011557426840117653,0.0030289123282948006,0.007835726388097727,0.9992063006993648,0.9961543911033178,0.9985657611999944,0.9900909769885795,0.9962837172067888,0.02387560337429484,0.000587096539988563,2.6675210549245015e-05,1.5988649445651103e-05,-2.741432343453601e-05,0.30782085913715207,0.0008691482925013982,1.448130860287264e-06,1.7792765423177296e-07,2.0520933785545632e-08
s4_concat,per_tensor,C,6,True,10.400407448729508,1.0240970604748336,0.9960764817970217,51.30533413344834,0.6952490473293746,0.00119484501238498,4.317017429330652e-05,0.00021604768314974687,7.162774192549165,0.833815955309908,0.034566530233521846,0.006570401379923948,0.014698560580878213,4.649602361801023,0.4483142029080695,0.011734831486254267,0.003004271969078369,0.007829634209742226,0.9991961217889479,0.996203335341782,0.9985575478029283,0.9901255906680034,0.9962998133834473,0.05550215634806044,-0.003271178369011807,0.00020407985668585878,-8.651709770780489e-06,-3.350650179003746e-05,0.9574620521330246,-0.008093569837161585,8.25163987021641e-06,2.6599253370229237e-08,-9.193077924465551e-07
s4_concat,per_tensor,C,4,True,17.67875314186839,1.4955098539901273,0.9951136589275104,87.4920291408741,0.9000049850252364,0.0014280019522896097,5.303617514047298e-05,0.000250545315201626,9.353717396889543,0.9486859253858657,0.03778891308690434,0.007282593984321313,0.015828623288259343,6.851696440200526,0.5936661791987549,0.018403062186006354,0.004070443182454899,0.009713145182893531,0.9986291301468938,0.9950851897863205,0.9982760738571512,0.9878689184995555,0.9957089823476308,2.257596234747564,0.14208079792167355,0.006872310556437946,0.0010575195036057498,0.0018500044713612683,37.14415705955878,0.19666236785870017,0.00024140857977484622,9.892600100536686e-06,3.3578324259432574e-05
s4_concat,per_tensor,C,2,True,320.1590982803568,6.475174311947112,0.9645327160975444,1594.7270788982112,6.058173783847477,0.007538688752744662,0.00030208543311569826,0.0023979455396003443,39.93403409246568,2.4613357722682774,0.08682562267409696,0.01738060508485531,0.048968822117755134,30.359428318346634,1.9008015934045552,0.06390375032893772,0.011631794846244905,0.04010610280918471,0.9750130006371933,0.9669171005888774,0.9908990722296853,0.9309033315559166,0.9589310754760496,25.76532811289367,1.4492162121274739,0.05237299869936931,0.008618871167395755,0.03224296209765245,1544.379206816896,5.35483116668094,0.006352095380229898,0.000258941858075762,0.0021809785486581507
s4_concat,per_tensor,A+B+C,8,True,10.429487655493139,1.0337472999038524,0.9960359438932643,51.436891127368796,0.7091006287602156,0.0011805446590105984,4.329537882624023e-05,0.00022268129885159605,7.171951695833485,0.8420811295595072,0.03435905497842742,0.006579922402752196,0.014922509804037525,4.6821186398337975,0.4638772727371527,0.01147866997046729,0.0030227216471879117,0.008239195330656016,0.9991940604866932,0.9961276936564306,0.9985748116119829,0.9900969523586001,0.9961862013526147,0.08801843438083523,0.012291891460071369,-5.208165910111813e-05,9.79796833876223e-06,0.00037605461912375293,1.0890190460534797,0.005758011593679391,-6.048713504165073e-06,1.5180378630393992e-07,5.7143079094026255e-06
s4_concat,per_tensor,A+B+C,6,True,18.951720904177733,1.5576930434694938,0.9950254666217665,93.90528870461928,0.8512905989407656,0.0016646789604087273,4.994216601339156e-05,0.00031059620219235504,9.690474121766142,0.9226541057952138,0.040800477453195656,0.007066977148214897,0.01762373973344917,7.188839800526678,0.5661178981910167,0.018569826627869095,0.003576031270645401,0.011361660731260784,0.9985286439165204,0.9953512127153762,0.9979903503810359,0.9885766180420722,0.9946805080538278,2.5947395950737153,0.11453251691393534,0.007039074998300686,0.0005631075917962515,0.0034985200197285207,43.557416623303965,0.1479479817742294,0.0004780855878939638,6.79859097345527e-06,9.362921125016162e-05
