subset / delta_mse,8-bit,6-bit,4-bit,2-bit
A,0.19413398736475784,8.102303292129541,47.46542130685822,13104.020401698233
B,0.014633262320842277,0.0010593637828115732,0.0319780749948837,4.6909921624058555
C,0.061738330801819785,0.18987516824543782,7.468220861384321,309.9485659998727
A+B+C,0.21895537500906848,8.741188623693663,48.86677335581143,5341.591445239363
