model,test_mse,test_mse_weighted,test_rmse,test_mae,test_r2,mse_x_entry,mse_y_entry,mse_n_x,mse_n_y,mse_n_z,nz_mae,ny_mae,params,wall_clock_sec,gpu,precision,best_val_epoch
mlp,36.926717481454055,0.0007559409422673795,2.973041624535239,1.4013534203738718,0.9924210965390948,183.05066713485152,1.5798507856089303,0.002653630930647265,7.595851964666192e-05,0.0003398973595468137,0.009394328855092416,0.003658502970480432,11349765,,NVIDIA RTX A4000,bf16,50
cnn,19.9518208648544,0.0006655045357541259,2.196529324252915,1.526019258790033,0.9933394128698202,98.81569956880696,0.9409512087319613,0.0020655903878954132,8.259790125498812e-05,0.00030535844391818583,0.010308627892666332,0.003848318277869136,4566277,,NVIDIA RTX A4000,bf16,47
cnn_concat,14.0175611577067,0.0005135775334164991,1.853615406793434,1.2742555688862653,0.9948592478609963,69.31084422184792,0.7751804351361385,0.0014508939422502945,6.132712485773345e-05,0.0002689104823526694,0.009166281305171466,0.003557542582500947,4566405,,NVIDIA RTX A4000,bf16,47
gru,11.51634142376564,0.0003836953332909716,1.677989880467639,1.0895589577723568,0.9961579200252721,56.960009134785274,0.6202809386078502,0.001164075630830659,4.3443106397444265e-05,0.00020952669784583355,0.008019809276629009,0.002929265258812714,431239,,NVIDIA RTX A4000,bf16,48
s4,12.2050804228219,0.0005120339541449876,1.741095823515592,1.1153599735613875,0.9948756954920667,60.24427864315117,0.7794242418389556,0.0013911327174892616,6.363329432170577e-05,0.00024446310757039914,0.008621836499716777,0.0035791235695891177,316421,,NVIDIA RTX A4000,bf16,39
s4_concat,10.232754160949133,0.00039255594439007986,1.5997567045657615,1.0163223933773216,0.9960683252309765,50.457268933447224,0.7050528291268218,0.0011887718856046898,4.3122163195243396e-05,0.0002171481228234463,0.007856319816947217,0.003011187975449463,320645,,NVIDIA RTX A4000,bf16,13
s4_modulate,11.310437947948477,0.00043607068795787696,1.6770791709370045,1.1015704856811959,0.995633647346882,55.81656184485842,0.7341165931950192,0.0012182972864383961,4.942838925023009e-05,0.00024357601326332963,0.008541874754786362,0.0031063153356405073,414757,,NVIDIA RTX A4000,bf16,46
